step,timestamp,alive_cells,dead_cells,density,births,deaths,stability,entropy
0,2.4318695068359375e-05,60,2440,0.024,0,0,1.0,0.0
1,0.00017142295837402344,70,2430,0.028,38,28,0.9736,0.0
2,0.0002658367156982422,84,2416,0.0336,28,14,0.9832,0.0
3,0.00035953521728515625,62,2438,0.0248,14,36,0.98,0.0
4,0.0004565715789794922,68,2432,0.0272,36,30,0.9736,0.0
5,0.0005414485931396484,86,2414,0.0344,30,12,0.9832,0.0
6,0.0006241798400878906,60,2440,0.024,12,38,0.98,0.0
7,0.0007300376892089844,70,2430,0.028,38,28,0.9736,0.0
8,0.0008151531219482422,84,2416,0.0336,28,14,0.9832,0.0
9,0.0009024143218994141,62,2438,0.0248,14,36,0.98,0.0
10,0.0009832382202148438,68,2432,0.0272,36,30,0.9736,0.0
11,0.0010623931884765625,86,2414,0.0344,30,12,0.9832,0.0
12,0.001150369644165039,60,2440,0.024,12,38,0.98,0.0
13,0.0012311935424804688,70,2430,0.028,38,28,0.9736,0.0
14,0.0013113021850585938,84,2416,0.0336,28,14,0.9832,0.0
15,0.0013911724090576172,62,2438,0.0248,14,36,0.98,0.0
16,0.0014729499816894531,68,2432,0.0272,36,30,0.9736,0.0
17,0.0015530586242675781,86,2414,0.0344,30,12,0.9832,0.0
18,0.0016317367553710938,60,2440,0.024,12,38,0.98,0.0
19,0.001737356185913086,70,2430,0.028,38,28,0.9736,0.0
20,0.0018224716186523438,84,2416,0.0336,28,14,0.9832,0.0
21,0.0019059181213378906,62,2438,0.0248,14,36,0.98,0.0
22,0.0019876956939697266,68,2432,0.0272,36,30,0.9736,0.0
23,0.002071857452392578,86,2414,0.0344,30,12,0.9832,0.0
24,0.0021576881408691406,60,2440,0.024,12,38,0.98,0.0
25,0.0023717880249023438,70,2430,0.028,38,28,0.9736,0.0
26,0.0024895668029785156,84,2416,0.0336,28,14,0.9832,0.0
27,0.0026323795318603516,62,2438,0.0248,14,36,0.98,0.0
28,0.0027413368225097656,68,2432,0.0272,36,30,0.9736,0.0
29,0.002824544906616211,86,2414,0.0344,30,12,0.9832,0.0
30,0.002915620803833008,60,2440,0.024,12,38,0.98,0.0
31,0.003011465072631836,70,2430,0.028,38,28,0.9736,0.0
32,0.0030946731567382812,84,2416,0.0336,28,14,0.9832,0.0
33,0.003176450729370117,62,2438,0.0248,14,36,0.98,0.0
34,0.003258228302001953,68,2432,0.0272,36,30,0.9736,0.0
35,0.0033388137817382812,86,2414,0.0344,30,12,0.9832,0.0
36,0.0034220218658447266,60,2440,0.024,12,38,0.98,0.0
37,0.0035028457641601562,70,2430,0.028,38,28,0.9736,0.0
38,0.0035941600799560547,84,2416,0.0336,28,14,0.9832,0.0
39,0.003701448440551758,62,2438,0.0248,14,36,0.98,0.0
40,0.0037903785705566406,68,2432,0.0272,36,30,0.9736,0.0
41,0.003872394561767578,86,2414,0.0344,30,12,0.9832,0.0
42,0.0039539337158203125,60,2440,0.024,12,38,0.98,0.0
43,0.004036664962768555,70,2430,0.028,38,28,0.9736,0.0
44,0.0041179656982421875,84,2416,0.0336,28,14,0.9832,0.0
45,0.004200458526611328,62,2438,0.0248,14,36,0.98,0.0
46,0.004281759262084961,68,2432,0.0272,36,30,0.9736,0.0
47,0.004369020462036133,86,2414,0.0344,30,12,0.9832,0.0
48,0.00445103645324707,60,2440,0.024,12,38,0.98,0.0
49,0.004540681838989258,70,2430,0.028,38,28,0.9736,0.0
